Altium Designer Pick and Place Locations
E:\QRBOTS\PCB Projects\Nvidia_carrier_board_buck_converter\Altium_project_DPRS10A16V\Project Outputs for Altium_project_DPRS10A16V\Pick Place\Pick Place for DPRS10A16V.csv

========================================================================================================================
File Design Information:

Date:       03/10/25
Time:       13:38
Revision:   724c316bfb4b06a0b31c78f34debb7b8a18df0b6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C11A","C3216X5R1V226M160AC","TopLayer","CAP_1206","2.5400","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C10B","C3216X5R1V226M160AC","TopLayer","CAP_1206","42.4180","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C10A","C3216X5R1V226M160AC","TopLayer","CAP_1206","4.6990","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C9B","C3216X5R1V226M160AC","TopLayer","CAP_1206","44.5770","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C9A","C3216X5R1V226M160AC","TopLayer","CAP_1206","6.8580","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C8B","C3216X5R1V226M160AC","TopLayer","CAP_1206","46.7360","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C8A","C3216X5R1V226M160AC","TopLayer","CAP_1206","9.0170","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
"C7B","EEE-FT1H470AP","TopLayer","CAP_EEEFT1H470AP","29.2100","27.1380","270","47ÂµF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 680mOhm @ 100kHz 2000 Hrs @ 105Â°C"
"C7A","EEE-FT1H470AP","TopLayer","CAP_EEEFT1H470AP","19.5580","27.1380","270","47ÂµF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 680mOhm @ 100kHz 2000 Hrs @ 105Â°C"
"C6B","TMK107B7105KA-T","TopLayer","CAP_0603","40.2209","11.6840","0","0603 1 uF 25 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C6A","TMK107B7105KA-T","TopLayer","CAP_0603","7.6200","11.4300","0","0603 1 uF 25 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C5B","CGA3E3X7R1H474K080AB","TopLayer","CAP_0603","44.2502","16.7363","270","0.47 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C5A","CGA3E3X7R1H474K080AB","TopLayer","CAP_0603","11.6840","16.5481","270","0.47 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C4B","CGA3E3X7R1H474K080AB","TopLayer","CAP_0603","37.9002","16.7363","270","0.47 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C4A","CGA3E3X7R1H474K080AB","TopLayer","CAP_0603","5.3340","16.5481","270","0.47 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C3B","C3216X7R1H106K160AC","TopLayer","CAP_1206","35.8682","17.1173","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C3A","C3216X7R1H106K160AC","TopLayer","CAP_1206","3.3020","16.9291","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C2B","C3216X7R1H106K160AC","TopLayer","CAP_1206","46.2822","17.1173","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C2A","C3216X7R1H106K160AC","TopLayer","CAP_1206","13.7160","16.9291","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C1B","EEE-FT1H470AP","TopLayer","CAP_EEEFT1H470AP","29.2100","18.1210","90","47ÂµF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 680mOhm @ 100kHz 2000 Hrs @ 105Â°C"
"C1A","EEE-FT1H470AP","TopLayer","CAP_EEEFT1H470AP","19.5580","18.1210","90","47ÂµF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 680mOhm @ 100kHz 2000 Hrs @ 105Â°C"
"J4","SM04B-PASS-TBT","TopLayer","CONN_SM04B-PASS-_JST","32.0200","7.5590","0","Connector Header Surface Mount, Right Angle 4 position 0.079" (2.00mm)"
"J3","SM04B-PASS-TBT","TopLayer","CONN_SM04B-PASS-_JST","16.7480","7.5590","0","Connector Header Surface Mount, Right Angle 4 position 0.079" (2.00mm)"
"J2","SM04B-PASS-TBT","TopLayer","CONN_SM04B-PASS-_JST","16.8750","38.2880","180","Connector Header Surface Mount, Right Angle 4 position 0.079" (2.00mm)"
"J1","SM04B-PASS-TBT","TopLayer","CONN_SM04B-PASS-_JST","32.2740","38.2880","180","Connector Header Surface Mount, Right Angle 4 position 0.079" (2.00mm)"
